question,index,options,answer,id1,id2,id3,id4,id5,id6,id7,id8,id9,id10,id11,id12,id13,id14,id15,id16,id17,id18,id19,id20,id21,id22,id23,id24,id25,id26,id27,id28,id29,id30,id31,avg
E3,E3,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2.566666667
E4,E4,8,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2.533333333
E5,E5,8,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2.6
E6,E6,8,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2.4
E7,E7,8,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2.366666667
E8,E8,8,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2.633333333
E9,E9,8,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2.766666667
E10,E10,8,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2.566666667
E11,E11,8,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2.5
E12,E12,8,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2.166666667
set1_1,A13,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
set1_2,A14,8,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
set1_3,A15,8,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
set1_4,A16,8,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
set1_5,C13,8,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
set1_6,C14,8,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
set1_7,D13,8,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
set1_8,D14,8,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
set1_9,D15,8,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
set1_10,E13,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
set1_11,E14,8,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
set1_12,E15,8,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
set2_1,D16,8,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
set2_2,C15,8,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
set2_3,C16,8,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
set2_4,C17,8,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
set2_5,C18,8,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
set2_6,C19,8,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
set2_7,E16,8,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
set2_8,E17,8,1,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
set2_9,E18,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
set2_10,C20,8,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
set2_11,E19,8,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
set2_12,E20,8,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
set2_13,D17,8,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
set2_14,C21,8,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
set2_15,E21,8,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
set2_16,E22,8,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
set2_17,D18,8,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
set2_18,F1,8,7,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
set2_19,F2,8,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
set2_20,F3,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
set2_21,F4,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
set2_22,E23,8,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
set2_23,E24,8,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
set2_24,C22,8,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
set2_25,C23,8,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
set2_26,C24,8,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
set2_27,D19,8,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
set2_28,set2_28,8,5,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
set2_29,D20,8,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
set2_30,C25,8,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
set2_31,C26,8,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
set2_32,C27,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
set2_33,E25,8,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
set2_34,D21,8,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
set2_35,E26,8,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
set2_36,E27,8,2,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
test1,test1,6,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
test2,test2,6,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
test3,test3,8,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
test4,test4,8,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
test5,test5,8,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
