question,options,answer,id1,id2,id3,id4,id5,id6,id7,id8,id9,id10,id11,id12,id13,id14,id15,id16,id17,id18,id19,id20,id21,id22,id23,id24,id25,id26,id27,id28,id29,id30,id31,avg
C2,8,2,4,2,2,4,1,3,4,1,3,4,4,3,4,3,1,1,1,4,3,2,1,4,2,2,1,4,4,3,3,2,1,2.666666667
C3,8,3,2,1,3,2,3,4,1,4,4,3,3,4,3,1,3,3,4,2,2,3,2,1,3,4,4,2,2,4,1,3,1,2.7
C4,8,8,1,4,1,1,4,1,3,2,1,2,1,2,2,4,2,4,3,3,1,1,4,3,4,1,3,1,1,2,2,1,1,2.166666667
C5,8,7,1,3,2,3,3,2,1,2,3,3,1,3,3,4,4,1,3,2,3,4,4,3,3,2,4,4,3,3,3,3,1,2.766666667
C6,8,4,4,4,1,4,4,4,2,1,2,4,3,4,4,2,1,3,2,4,1,3,2,2,4,4,3,1,4,2,4,1,1,2.8
C7,8,5,2,1,3,1,1,3,4,4,4,2,4,2,2,1,3,2,1,3,4,2,1,1,1,1,2,3,2,1,1,4,1,2.2
C8,8,1,3,2,4,2,2,1,3,3,1,1,2,1,1,3,2,4,4,1,2,1,3,4,2,3,1,2,1,4,2,2,1,2.233333333
C9,8,7,2,4,4,4,3,2,3,1,2,1,3,2,3,3,1,2,2,2,4,1,2,3,2,1,3,2,1,4,2,4,1,2.433333333
C10,8,6,3,2,2,3,2,1,2,2,3,2,1,4,4,2,3,1,4,3,1,4,3,4,4,3,4,1,3,3,4,3,1,2.7
C11,8,1,4,3,3,2,1,4,1,4,4,4,4,3,1,1,4,4,1,1,3,3,4,1,3,4,1,3,2,2,3,1,1,2.633333333
C12,8,2,1,1,1,1,4,3,4,3,1,3,2,1,2,4,2,3,3,4,2,2,1,2,1,2,2,4,4,1,1,2,1,2.233333333
D1,8,3,2,4,2,2,4,3,4,2,1,3,3,2,3,4,1,2,2,4,1,4,1,3,1,4,3,1,1,3,3,1,1,2.466666667
D2,8,4,4,3,3,1,2,1,3,4,3,1,4,1,4,3,4,3,1,2,2,1,2,2,3,2,2,4,4,4,1,3,1,2.566666667
D3,8,3,1,2,4,3,3,4,1,3,2,2,2,4,1,1,2,1,4,1,3,2,3,1,4,3,4,2,3,1,2,4,1,2.433333333
D4,8,7,3,1,1,4,1,2,2,1,4,4,1,3,2,2,3,4,3,3,4,3,4,4,2,1,1,3,2,2,4,2,1,2.533333333
D5,8,8,3,2,1,4,2,3,3,2,2,2,2,1,2,3,1,3,4,4,4,1,2,2,3,2,2,1,3,1,2,2,1,2.3
D6,8,6,2,4,3,3,4,2,1,3,1,3,3,3,1,2,3,2,3,2,1,3,1,3,2,4,1,3,1,4,3,4,1,2.5
D7,8,5,1,3,2,2,3,4,2,1,4,4,4,2,4,4,2,1,2,1,2,2,3,4,4,1,4,4,4,3,4,1,1,2.733333333
D8,8,4,4,1,4,1,1,1,4,4,3,1,1,4,3,1,4,4,1,3,3,4,4,1,1,3,3,2,2,2,1,3,1,2.466666667
D9,8,1,3,3,4,4,3,4,4,2,2,3,2,1,3,1,3,1,2,1,4,2,3,2,3,4,4,4,1,4,2,3,1,2.733333333
D10,8,2,4,1,1,2,2,3,3,4,3,2,3,4,4,2,1,3,4,4,3,1,4,1,2,1,1,1,3,1,1,4,1,2.433333333
D11,8,5,2,4,2,1,4,1,1,3,4,4,1,3,1,3,2,2,1,3,1,3,1,3,4,3,3,3,2,3,4,2,1,2.466666667
D12,8,6,1,2,3,3,1,2,2,1,1,1,4,2,2,4,4,4,3,2,2,4,2,4,1,2,2,2,4,2,3,1,1,2.366666667
E1,8,7,4,1,2,3,3,3,4,1,2,3,4,3,2,2,3,3,2,3,2,1,4,1,4,2,4,3,2,4,2,1,1,2.6
E2,8,6,1,4,1,1,4,2,1,4,1,2,1,1,3,1,1,2,3,2,3,4,2,2,3,1,3,4,3,3,4,2,1,2.3
E3,8,8,3,2,4,2,1,1,2,3,4,4,2,2,4,3,4,1,4,4,4,3,1,4,1,4,1,2,1,2,1,3,1,2.566666667
E4,8,2,2,3,3,4,2,4,3,2,3,1,3,4,1,4,2,4,1,1,1,2,3,3,2,3,2,1,4,1,3,4,1,2.533333333
E5,8,1,4,3,2,1,1,1,4,4,1,2,4,4,4,4,1,1,1,4,2,2,4,4,4,3,1,4,3,3,1,1,1,2.6
E6,8,5,2,1,1,4,2,2,2,1,3,3,3,3,3,1,4,4,3,2,4,1,2,2,1,1,2,2,2,4,3,4,1,2.4
E7,8,1,1,4,3,2,3,4,1,3,2,1,2,1,2,3,2,3,4,3,1,3,3,1,2,4,4,1,1,2,2,3,1,2.366666667
E8,8,6,3,2,4,3,4,3,3,2,4,4,1,2,1,2,3,2,2,1,3,4,1,3,3,2,3,3,4,1,4,2,1,2.633333333
E9,8,3,2,4,1,4,4,1,1,3,3,2,4,1,3,2,4,4,4,4,3,1,1,3,3,4,1,4,3,4,1,4,1,2.766666667
E10,8,2,4,3,2,3,1,4,4,4,4,1,2,4,4,3,2,3,1,2,1,4,2,1,4,3,2,1,2,1,4,1,1,2.566666667
E11,8,4,3,2,3,1,2,2,3,2,2,4,3,2,1,1,3,1,2,3,4,2,4,4,2,1,4,2,4,3,2,3,1,2.5
E12,8,5,1,1,4,2,3,3,2,1,1,3,1,3,2,4,1,2,3,1,2,3,3,2,1,2,3,3,1,2,3,2,1,2.166666667
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
test1,6,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
test2,6,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
test3,8,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
test4,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
