question,level,options,answer,id1,id2,id3,id4,id5,id6,id7,id8,id9,id10,id11,id12,id13,id14,id15,id16,id17,id18,id19,id20,id21,id22,id23,id24,id25,id26,avg,id61,id99
C12,C,8,2,1,2,1,1,2,1,1,1,2,2,2,2,2,1,2,2,1,2,2,1,1,1,1,2,2,1,1.5,1,1
set2_26,C,8,2,1,2,2,2,1,1,1,1,2,2,2,2,2,2,2,2,1,1,1,2,1,1,1,2,1,1,1.5,2,1
set2_32,C,8,8,2,1,1,1,2,2,2,2,1,1,1,1,1,1,1,1,2,2,2,1,2,2,2,1,2,2,1.5,1,1
D1,D,8,3,2,2,2,2,2,2,2,1,2,1,1,1,2,2,2,1,1,1,1,1,2,2,1,1,1,1,1.5,2,1
D2,D,8,4,1,1,1,1,1,1,1,2,1,2,2,2,1,1,1,2,2,2,2,2,1,1,2,2,2,2,1.5,1,1
D3,D,8,3,2,2,2,2,1,1,1,1,1,2,2,1,2,2,1,1,1,1,2,1,2,2,1,2,1,2,1.5,2,1
D4,D,8,7,1,1,1,1,2,2,2,2,2,1,1,2,1,1,2,2,2,2,1,2,1,1,2,1,2,1,1.5,1,1
D5,D,8,8,1,1,2,2,2,2,2,1,2,1,2,2,2,1,1,1,1,2,1,2,1,2,1,1,2,1,1.5,2,1
D6,D,8,6,2,2,1,1,1,1,1,2,1,2,1,1,1,2,2,2,2,1,2,1,2,1,2,2,1,2,1.5,1,1
D7,D,8,5,1,1,2,2,2,1,2,2,2,1,1,2,1,1,1,1,1,1,2,1,2,1,2,2,2,2,1.5,2,1
D8,D,8,4,2,2,1,1,1,2,1,1,1,2,2,1,2,2,2,2,2,2,1,2,1,2,1,1,1,1,1.5,1,1
set2_17,D,8,6,1,2,2,2,2,1,1,2,1,2,1,1,2,2,2,1,2,2,2,2,2,1,1,1,1,1,1.538461538,2,1
D9,D,8,1,2,1,1,1,1,2,2,1,2,1,2,2,1,1,1,2,1,1,1,1,1,2,2,2,2,2,1.461538462,1,1
set1_8,D,8,3,1,1,1,2,1,2,1,1,1,2,2,2,1,2,1,2,1,2,2,2,2,1,2,1,1,2,1.5,2,1
set1_9,D,8,7,2,2,2,1,2,1,2,2,2,1,1,1,2,1,2,1,2,1,1,1,1,2,1,2,2,1,1.5,1,1
D10,D,8,2,1,1,1,2,2,2,1,1,1,2,1,2,1,1,2,1,1,2,2,1,2,2,2,2,1,2,1.5,2,1
D11,D,8,5,2,2,2,1,1,1,2,2,2,1,2,1,2,2,1,2,2,1,1,2,1,1,1,1,2,1,1.5,1,1
set2_27,D,8,7,2,2,2,2,2,2,1,2,2,1,2,1,2,1,1,1,1,1,1,2,1,1,2,1,2,1,1.5,1,1
D12,D,8,6,1,1,1,1,1,1,2,1,1,2,1,2,1,2,2,2,2,2,2,1,2,2,1,2,1,2,1.5,2,1
set2_13,D,8,2,1,2,1,2,2,2,1,1,1,2,2,1,1,2,1,2,1,1,2,2,1,1,2,2,1,2,1.5,1,1
set2_34,D,8,1,2,1,2,1,1,1,2,2,2,1,1,2,2,1,2,1,2,2,1,1,2,2,1,1,2,1,1.5,2,1
E1,E,8,7,2,2,1,2,1,1,2,1,1,2,2,1,2,2,1,2,2,1,1,2,1,1,1,2,2,1,1.5,2,1
E2,E,8,6,1,1,2,1,2,2,1,2,2,1,1,2,1,1,2,1,1,2,2,1,2,2,2,1,1,2,1.5,1,1
E3,E,8,8,2,1,1,1,2,2,2,1,2,2,2,1,2,1,1,2,1,2,2,2,1,2,1,1,1,1,1.5,2,1
E4,E,8,2,1,2,2,2,1,1,1,2,1,1,1,2,1,2,2,1,2,1,1,1,2,1,2,2,2,2,1.5,1,1
E5,E,8,1,2,1,2,2,1,2,2,1,1,2,2,2,2,2,1,1,2,1,2,1,2,2,1,1,1,1,1.538461538,1,1
E6,E,8,5,1,2,1,1,2,1,1,2,2,1,1,1,1,1,2,2,1,2,1,2,1,1,2,2,2,2,1.461538462,2,1
set2_12,E,8,6,1,2,2,2,2,1,2,1,2,2,1,1,2,1,2,1,2,1,2,1,2,1,2,1,1,1,1.5,1,1
E7,E,8,1,2,1,1,1,1,2,1,2,1,1,2,2,1,2,1,2,1,2,1,2,1,2,1,2,2,2,1.5,2,1
E8,E,8,6,2,1,2,1,1,2,2,2,1,2,1,1,1,2,2,2,2,2,2,1,1,2,1,1,1,1,1.5,2,1
E9,E,8,3,1,2,1,2,2,1,1,1,2,1,2,2,2,1,1,1,1,1,1,2,2,1,2,2,2,2,1.5,1,1
set2_23,E,8,6,2,1,1,1,1,2,2,1,2,1,2,1,1,1,2,1,2,2,2,1,2,1,2,2,1,2,1.5,2,1
E10,E,8,2,1,2,2,2,2,1,1,2,1,2,1,2,2,2,1,2,1,1,1,2,1,2,1,1,2,1,1.5,1,1
set2_36,E,8,2,1,1,2,2,2,1,1,1,2,2,1,1,1,1,1,2,2,2,2,1,2,1,2,2,1,2,1.5,2,1
set2_30,E,8,5,2,2,1,1,1,2,2,2,1,1,2,2,2,2,2,1,1,1,1,2,1,2,1,1,2,1,1.5,1,1
E11,E,8,4,2,1,2,2,1,2,2,2,1,1,1,2,2,2,2,1,2,2,2,2,1,2,1,1,1,1,1.576923077,1,1
set2_8,E,8,1,1,2,1,1,2,1,1,1,2,2,2,1,1,1,1,2,1,1,1,1,2,1,2,2,2,2,1.423076923,2,1
E12,E,8,5,1,2,1,2,2,1,1,2,1,1,1,1,2,1,1,1,2,2,2,2,2,2,2,1,2,1,1.5,2,1
set2_33,E,8,5,2,1,2,1,1,2,2,1,2,2,2,2,1,2,2,2,1,1,1,1,1,1,1,2,1,2,1.5,1,1
test1,,6,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
test2,,6,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
test3,,6,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
test4,,8,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
test5,,8,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
test6,,8,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
